Country,Year,CapitalCity,Population
Afghanistan,2005,Kabul,"2,905"
Afghanistan,2010,Kabul,"3,289"
Afghanistan,2015,Kabul,"3,724"
Afghanistan,2018,Kabul,"4,012"
Albania,2005,Tirana,372
Albania,2010,Tirana,409
Albania,2015,Tirana,449
Albania,2018,Tirana,476
Algeria,2005,Algiers,"2,282"
Algeria,2010,Algiers,"2,432"
Algeria,2015,Algiers,"2,592"
Algeria,2018,Algiers,"2,694"
American Samoa,2018,Pago Pago,49
Andorra,2018,Andorra la Vella,23
Angola,2005,Luanda,"3,872"
Angola,2010,Luanda,"5,300"
Angola,2015,Luanda,"7,023"
Angola,2018,Luanda,"7,774"
Anguilla,2018,The Valley,1
Antigua and Barbuda,2018,Saint John's,21
Argentina,2005,Buenos Aires,"13,330"
Argentina,2010,Buenos Aires,"14,246"
Argentina,2015,Buenos Aires,"14,706"
Argentina,2018,Buenos Aires,"14,967"
Armenia,2005,Yerevan,"1,087"
Armenia,2010,Yerevan,"1,066"
Armenia,2015,Yerevan,"1,071"
Armenia,2018,Yerevan,"1,080"
Aruba,2018,Oranjestad,30
Australia,2005,Canberra,366
Australia,2010,Canberra,398
Australia,2015,Canberra,429
Australia,2018,Canberra,448
Austria,2005,Vienna,"1,641"
Austria,2010,Vienna,"1,731"
Austria,2015,Vienna,"1,835"
Austria,2018,Vienna,"1,901"
Azerbaijan,2005,Baku,"1,867"
Azerbaijan,2010,Baku,"2,062"
Azerbaijan,2015,Baku,"2,206"
Azerbaijan,2018,Baku,"2,286"
Bahamas,2018,Nassau,280
Bahrain,2005,Manama,198
Bahrain,2010,Manama,292
Bahrain,2015,Manama,441
Bahrain,2018,Manama,565
Bangladesh,2005,Dhaka,"12,331"
Bangladesh,2010,Dhaka,"14,731"
Bangladesh,2015,Dhaka,"17,597"
Bangladesh,2018,Dhaka,"19,578"
Barbados,2018,Bridgetown,89
Belarus,2005,Minsk,"1,775"
Belarus,2010,Minsk,"1,850"
Belarus,2015,Minsk,"1,945"
Belarus,2018,Minsk,"2,005"
Belgium,2005,Brussels,"1,853"
Belgium,2010,Brussels,"1,926"
Belgium,2015,Brussels,"2,002"
Belgium,2018,Brussels,"2,050"
Belize,2018,Belmopan,23
Benin,2018,Porto-Novo,285
Bermuda,2018,Hamilton,10
Bhutan,2018,Thimphu,203
Bolivia (Plurin. State of),2018,Sucre,278
"Bonaire, St. Eustatius & Saba",2018,Kralendijk,11
Bosnia and Herzegovina,2005,Sarajevo,342
Bosnia and Herzegovina,2010,Sarajevo,342
Bosnia and Herzegovina,2015,Sarajevo,342
Bosnia and Herzegovina,2018,Sarajevo,343
Botswana,2018,Gaborone,269
Brazil,2005,Brasilia,"3,301"
Brazil,2010,Brasilia,"3,710"
Brazil,2015,Brasilia,"4,168"
Brazil,2018,Brasilia,"4,470"
British Virgin Islands,2018,Road Town,15
Brunei Darussalam,2018,Bandar Seri Begawan,41
Bulgaria,2005,Sofia,"1,169"
Bulgaria,2010,Sofia,"1,216"
Bulgaria,2015,Sofia,"1,256"
