Postal Code,State Abbreviation,State,lat,lng
79000,JHR,Johor,1.5014,103.6439
79100,JHR,Johor,1.4835,103.6341
79150,JHR,Johor,1.4968,103.6524
79200,JHR,Johor,1.4836,103.6364
79250,JHR,Johor,1.5034,103.6522
79502,JHR,Johor,1.5014,103.6439
79503,JHR,Johor,1.5014,103.6439
79504,JHR,Johor,1.5014,103.6439
79505,JHR,Johor,1.5014,103.6439
79511,JHR,Johor,1.5014,103.6439
79513,JHR,Johor,1.5014,103.6439
79514,JHR,Johor,1.5014,103.6439
79517,JHR,Johor,1.5014,103.6439
79518,JHR,Johor,1.5014,103.6439
79520,JHR,Johor,1.457,103.7623
79521,JHR,Johor,1.5014,103.6439
79523,JHR,Johor,1.5014,103.6439
79532,JHR,Johor,1.5014,103.6439
79538,JHR,Johor,1.5014,103.6439
79540,JHR,Johor,1.5014,103.6439
79546,JHR,Johor,1.5014,103.6439
79548,JHR,Johor,1.5014,103.6439
79550,JHR,Johor,1.5014,103.6439
79552,JHR,Johor,1.5014,103.6439
79555,JHR,Johor,1.5014,103.6439
79570,JHR,Johor,6.1378,100.3711
79575,JHR,Johor,1.5014,103.6439
79576,JHR,Johor,1.5014,103.6439
79592,JHR,Johor,1.5014,103.6439
79601,JHR,Johor,1.5014,103.6439
79603,JHR,Johor,1.5014,103.6439
79605,JHR,Johor,1.5014,103.6439
79606,JHR,Johor,1.5014,103.6439
79612,JHR,Johor,1.5014,103.6439
79626,JHR,Johor,1.4875,103.7518
79630,JHR,Johor,1.4831,103.7541
79632,JHR,Johor,1.4788,103.7416
79646,JHR,Johor,1.5014,103.6439
79658,JHR,Johor,1.5014,103.6439
79660,JHR,Johor,1.5014,103.6439
79680,JHR,Johor,1.5014,103.6439
79681,JHR,Johor,1.5014,103.6439
79683,JHR,Johor,1.5014,103.6439
80000,JHR,Johor,1.5035,103.7405
80050,JHR,Johor,1.4863,103.7713
80100,JHR,Johor,1.5041,103.7052
80150,JHR,Johor,1.5074,103.7329
80200,JHR,Johor,1.4977,103.7163
80250,JHR,Johor,1.5035,103.7404
80300,JHR,Johor,1.4757,103.7537
80350,JHR,Johor,1.5388,103.7012
80400,JHR,Johor,1.5017,103.7414
80500,JHR,Johor,1.4634,103.7547
80506,JHR,Johor,1.4634,103.7547
80508,JHR,Johor,1.4634,103.7547
80516,JHR,Johor,1.4634,103.7547
80519,JHR,Johor,1.4582,103.7501
80534,JHR,Johor,1.4634,103.7547
80536,JHR,Johor,1.4634,103.7547
80542,JHR,Johor,1.4634,103.7547
80546,JHR,Johor,1.4634,103.7547
80558,JHR,Johor,1.4634,103.7547
80560,JHR,Johor,1.4634,103.7547
80564,JHR,Johor,1.4634,103.7547
80568,JHR,Johor,1.4634,103.7547
80578,JHR,Johor,1.4634,103.7547
80584,JHR,Johor,1.4634,103.7547
80586,JHR,Johor,1.4583,103.7462
80590,JHR,Johor,1.4634,103.7547
80592,JHR,Johor,1.4634,103.7547
80594,JHR,Johor,1.4634,103.7547
80596,JHR,Johor,1.4634,103.7547
80600,JHR,Johor,1.4634,103.7547
80604,JHR,Johor,1.4634,103.7547
80608,JHR,Johor,1.4634,103.7547
80620,JHR,Johor,1.5384,103.7686
80622,JHR,Johor,1.4634,103.7547
80628,JHR,Johor,1.4634,103.7547
80644,JHR,Johor,1.4562,103.7613
80648,JHR,Johor,1.4634,103.7547
80662,JHR,Johor,1.4804,103.7426
80664,JHR,Johor,1.4634,103.7547
80668,JHR,Johor,1.4634,103.7547
80670,JHR,Johor,1.4634,103.7547
80672,JHR,Johor,1.4634,103.7547
80673,JHR,Johor,1.4712,103.7748
80676,JHR,Johor,1.4634,103.7547
80700,JHR,Johor,1.4634,103.7547
80710,JHR,Johor,1.4634,103.7547
80720,JHR,Johor,1.4634,103.7547
80730,JHR,Johor,1.4634,103.7547
80900,JHR,Johor,1.4634,103.7547
80902,JHR,Johor,1.4634,103.7547
80904,JHR,Johor,1.4634,103.7547
80906,JHR,Johor,1.4634,103.7547
80908,JHR,Johor,1.4634,103.7547
80988,JHR,Johor,1.4634,103.7547
80990,JHR,Johor,1.4634,103.7547
81000,JHR,Johor,1.7259,103.5011
81100,JHR,Johor,1.5495,103.708
81200,JHR,Johor,1.5249,103.6874
81300,JHR,Johor,1.5427,103.6487
81310,JHR,Johor,1.5107,103.6984
81400,JHR,Johor,1.6446,103.5973
81440,JHR,Johor,1.7876,103.6699
81450,JHR,Johor,1.7601,103.6852
81500,JHR,Johor,1.5141,103.7014
81550,JHR,Johor,1.4619,103.5857
81600,JHR,Johor,1.4656,103.9435
81700,JHR,Johor,1.5002,103.8273
81750,JHR,Johor,1.5558,103.7616
81800,JHR,Johor,1.6728,103.6325
81850,JHR,Johor,1.7832,103.4388
81900,JHR,Johor,1.7427,103.7788
81920,JHR,Johor,1.721,103.8967
81930,JHR,Johor,1.6712,103.9725
82000,JHR,Johor,1.5666,103.3873
82100,JHR,Johor,1.6927,103.2524
82200,JHR,Johor,1.6864,103.2713
82300,JHR,Johor,1.423,103.4425
83000,JHR,Johor,1.8578,103.0357
83100,JHR,Johor,1.664,103.2453
83200,JHR,Johor,1.8138,103.0467
83300,JHR,Johor,1.8197,103.2399
83400,JHR,Johor,1.5084,103.7136
83500,JHR,Johor,1.9663,102.9015
83600,JHR,Johor,1.9075,102.8813
83700,JHR,Johor,1.9139,103.1326
84000,JHR,Johor,2.0051,102.7335
84150,JHR,Johor,1.9152,102.8197
84200,JHR,Johor,2.0102,102.6981
84300,JHR,Johor,2.1122,102.7617
84400,JHR,Johor,2.0749,102.7197
84500,JHR,Johor,2.0423,102.9538
84600,JHR,Johor,2.087,102.8871
84700,JHR,Johor,2.215,102.7854
84800,JHR,Johor,2.1437,102.8537
84900,JHR,Johor,2.1462,102.7848
85000,JHR,Johor,2.3134,102.9786
