city,city_ascii,lat,lng,pop,country,iso2,iso3,province,,
Kangar,Kangar,6.433001991,100.1899987,63869,Malaysia,MY,MYS,Perlis,,
Kuala Lipis,Kuala Lipis,4.18400112,102.0420006,15448,Malaysia,MY,MYS,Pahang,,
Shah Alam,Shah Alam,3.066695996,101.5499977,481654,Malaysia,MY,MYS,Selangor,,
Teluk Intan,Teluk Intan,4.01185976,101.0314453,82506,Malaysia,MY,MYS,Perak,,
Butterworth,Butterworth,5.417071146,100.4000109,464621.5,Malaysia,MY,MYS,Pulau Pinang,,
Sungai Petani,Sungai Petani,5.649718444,100.4793343,293671,Malaysia,MY,MYS,Kedah,,
Alor Setar,Alor Setar,6.113307718,100.3729325,276921.5,Malaysia,MY,MYS,Kedah,,
Muar,Muar,2.033737609,102.566597,159621.5,Malaysia,MY,MYS,Johor,,
Batu Pahat,Batu Pahat,1.850363789,102.9333447,177927.5,Malaysia,MY,MYS,Johor,,
Keluang,Keluang,2.038310973,103.317869,163264,Malaysia,MY,MYS,Johor,,
Seremban,Seremban,2.710492166,101.9400203,336824,Malaysia,MY,MYS,Negeri Sembilan,,
Raub,Raub,3.792700011,101.8423002,36772.5,Malaysia,MY,MYS,Pahang,,
Chukai,Chukai,4.233241596,103.4478869,63535.5,Malaysia,MY,MYS,Trengganu,,
Kuala Terengganu,Kuala Terengganu,5.330409769,103.12,317637.5,Malaysia,MY,MYS,Trengganu,,
Lahad Datu,Lahad Datu,5.046396097,118.3359704,82966,Malaysia,MY,MYS,Sabah,,
Bintulu,Bintulu,3.16640749,113.0359838,117643.5,Malaysia,MY,MYS,Sarawak,,
Miri,Miri,4.399923929,113.9845048,219957.5,Malaysia,MY,MYS,Sarawak,,
Johor Bahru,Johor Bahru,1.480024637,103.7300402,838744.5,Malaysia,MY,MYS,Johor,,
Kelang,Kelang,3.020369892,101.5500183,917933.5,Malaysia,MY,MYS,Selangor,,
Taiping,Taiping,4.864960143,100.7199914,227371,Malaysia,MY,MYS,Perak,,
Ipoh,Ipoh,4.599989236,101.0649833,656227,Malaysia,MY,MYS,Perak,,
Kota Baharu,Kota Baharu,6.119973978,102.2299768,392449.5,Malaysia,MY,MYS,Kelantan,,
Malacca,Malacca,2.206414407,102.2464615,645916.5,Malaysia,MY,MYS,Melaka,,
Kuantan,Kuantan,3.829958719,103.3200394,320462,Malaysia,MY,MYS,Pahang,,
Tawau,Tawau,4.270965392,117.8959973,297996.5,Malaysia,MY,MYS,Sabah,,
Sandakan,Sandakan,5.842962462,118.107974,341788.5,Malaysia,MY,MYS,Sabah,,
Kota Kinabalu,Kota Kinabalu,5.979982523,116.1100081,492498.5,Malaysia,MY,MYS,Sabah,,
Sibu,Sibu,2.302971821,111.8430334,201035.5,Malaysia,MY,MYS,Sarawak,,
George Town,George Town,5.413613156,100.3293679,1610101,Malaysia,MY,MYS,Pulau Pinang,,
Kuching,Kuching,1.529969909,110.3299991,537685,Malaysia,MY,MYS,Sarawak,,
Putrajaya,Putrajaya,2.914019795,101.701947,58982,Malaysia,MY,MYS,Selangor,,
Kuala Lumpur,Kuala Lumpur,3.166665872,101.6999833,1448000,Malaysia,MY,MYS,Selangor,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
